,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,161,150,137,153,148,152,137,135,152,205,196,115,148,226,222,108
2,52,66,79,59,148,84,101,121,165,163,163,145,144,234,220,184
3,71,106,110,72,147,100,95,134,95,133,143,94,113,223,208,102
4,56,101,113,30,155,122,119,144,140,153,153,152,163,220,212,128
5,71,110,83,84,75,91,90,79,74,122,152,95,106,215,211,167
6,92,99,95,97,105,101,96,112,113,133,127,100,128,150,145,103
7,57,115,125,90,152,95,101,145,115,120,149,104,90,196,202,103
8,84,115,122,98,116,85,87,133,154,132,148,162,188,215,213,207
9,73,101,104,84,136,95,95,133,66,105,132,74,44,171,179,63
10,126,130,124,107,129,123,133,155,133,145,161,150,167,191,190,158
11,114,156,148,148,165,163,158,151,140,182,195,113,163,226,227,129
12,60,83,88,85,139,84,105,132,146,158,176,149,140,225,224,150
13,148,163,159,142,172,153,157,167,168,198,203,165,170,228,225,162
14,93,83,89,101,149,92,104,146,168,159,179,163,179,226,225,182
15,75,102,87,81,128,85,96,125,67,128,158,71,77,214,216,88
16,75,95,92,65,118,89,92,125,61,129,137,58,82,211,195,56
17,140,138,139,155,142,144,151,151,141,193,197,132,148,230,226,115
18,92,83,97,81,112,71,98,96,59,126,160,78,78,211,213,100
